Project Title,Country of Origin,First Name,Last Name,Synopsis,Trailer URL
IS IT TRUE ? ,Tunisia,Maya,Blouza,"A young woman named salma suffers from a break up , to feel better she decides to see a life coach "" Nadia kwika"" . After a few sessions she gets influenced by nadia and the life that she pretends to have .It gets a bit funny when salma starts copying her coach but little did she know about her true life .",
IMPERFECT,"Korea, Republic of",jiyul,kim,"""The claw robot made by Toy, a perfectionist inventor who does not go outside, looks incomplete. The robot churns around the house and eventually breaks down the closed door. Eventually, angry Toy tries to subdue the robot, but she realizes that it's okay if she's not perfect when she sees people liking her imperfect robot.""",
Soap Opera,United Kingdom,Cameron,Carr,"""Soap Opera"" is based on a personal childhood memory involving bubble baths and pure imagination.   Every frame of the film was animated with individual grains of sand, no photo manipulation or post special effects was allowed.  Cameron was given a task to only allow the animation itself to direct his two composers, without giving any verbal directorial instructions typical in productions.   Despite this challenge, Umberto Gaudino and Charli Mackie both understood the film's message, story and tone, and were thus able to compose a compelling score. ",
Photograp(her),Canada,Anita,Monteiro,"A regular day for an urban photographer comprises of walking around a museum and photographing everything and everyone, but she is bewildered when someone does it to her for the first time.",
empty..,Japan,Hiroya,Sakurai,The theme is the emptiness of losing the most important things. The story is based on an event in which a pet runs away from its owner.  This film was produced as a work in a class at Seian University of Art and Design.,
Building Blocks ,Hong Kong,SCM,Films,"Building Blocks is a 3D abstract animation inspired by the Central neighborhood in Hong Kong, a district coexistence of the new and old culture of Hong Kong. By using the vintage toys in Hong Kong as the main character, travelling around Central, Building Blocks was created.",
RTV 3 / Radio television Horror/Documentary RTV 3,Croatia,Marko,Hesky,"The movie was filmed during the film festival APOX workshop, in the thought of learning green screen, practicing filming and sound.The movie is mixed documentary and fictional made like a tv reportage",
NOW OR NEVER - EN,Mexico,Anne-Sophie,Charon,"Ron is a compulsive consumer, he loves buying new tech items and accumulating them. One day, as he is resting at home, a strange phenomenon happens.  ",
Memento Mori,South Africa,Ignacius,L,"After getting final confirmation that he has only a few months left to live, Obi, a 20yr old leukemia patient, is overcome by his passiveness and decides to let the days go by, until his inevitable demise. After an unforeseen encounter with a mystery girl at a park, he seems to have found something to live for. He visits the park more often with the hope of seeing the girl again before his time eventually runs out. His persistence in this endeavor yields successful results, as he fights with his passive nature and his timidity, to enjoy a happy, short-lived relationship. Ultimately, he is content at the time of his death. ",
Malum,"Macedonia, the former Yugoslav Republic of",Mirella,Salihović,Couple's seemingly ordinary dinner is a mask for their hidden secrets and their strange relationship.,
Sobe e Desce,Ecuador,Emilio,Ponguillo," Since he was a child, Julio wants to go to space, but when he meets Fernanda his plans change unexpectedly, after finding himself again, he returns to his original plan, honoring the person who made him relive his dream.",
Le Rucher d’Inzerki-Au royaume des abeilles ,Morocco,Ahmed,Baidou,"Ce documentaire consiste à traiter le rapport d’harmonie qui existe entre l’homme et la nature, à partir de toute la chaine de production du miel dans le village d’Inzerki, (80 km d’Agadir-Région Souss Massa) qui contient le plus grand rucher au monde. Dans ce rapport, exprimant la volonté de l’homme de maitriser son entourage pour subvenir à ses besoins sans faire atteinte à l’équilibre écologique, l’abeille est le maitre de la situation, la reine de son royaume et l’homme se présente comme son serviteur, en but qu’il lui donne un miel utile à plusieurs égards. Mais dans ce rapport, l’eau est la pièce maitresse, il détermine à la fois le destin de l’homme et de l’abeille. ",
The Orara River,Australia,Daniel,Bird,"An exploration into the erosion impacts upon the unique, and beautiful Orara River.",
WHY,Angola,Nuno,Barreto,"SYNOPSIS: On an empty road, on the way to school, a girl rides alone with a mask on her face. On this road, children's voices are heard. Interspersed with laughter and screams echo of other voices, on the radio, on television. They announce the State of Emergency in Angola and the number of people killed and infected by the Coronavirus in the world. And in that same world of masks, there is an urgent word: “WHY”. Whether it's a question, whether it's a statement, we don't know. No one will come up with an answer. But the voices continue to echo. They accompany the places, the voids, the silences that do not remain silent. Whether at school, on swings, or in the place where ghosts now live. For those places of absence, where fear roars, where affections are crimes, the real emergency is in the eyes that the masks do not hide. Filmed in the middle of a State of Emergency, using only a smartphone, but hand in hand with the dream and reality, “WHY” does not seek to provide answers. Only the commitment to resistance cinema, courage against fear. To feel again that we are not alone. That we are with others. ",https://www.youtube.com/watch?v=2G6-TOqiu64
The vineyard,Spain,Antonio,Orbe,Uncle Anselmo returns to the vineyard of his childhood after many years. Everything has changed. His niece Alejandra runs the property together with her cousin Anita.,
Prey,United Kingdom,Amna,None,"Serial killer, Chris Hunter, lurks in the shadows for his next victims. After stalking two friends on a night out, they are unaware that an uninvited guest is waiting for them when they get back.",
STAY WITH HER,China,cullen,chen,It was the summer vacation when the epidemic situation was calming down. The loneliness connects two females to experiences the joys and sorrows together.,
Anime2dworld,Nigeria,Boluwatife,Ipadeola,An interview about 3D Animation and how to develop it and tell stories to the world,
Jwaar Bhata,India,RISHAV ,ROUSHAN,"Through Conversations and observations, the film speaks about the dogma,  desire and despair present in Temple Kalighat. The film throws light on the beliefs and practices of people, coming to the ghat and their existing unbreakable bonding with the ghat. It also speaks about “How ghat turned into an Immortal Piggy Bank for some devotees and children  “JWAAR-BHATA” are the two specific names for the direction of flowing of Ganga river in Kalighat Temple.  ",
MayBe A Company,Greece,3lamp,Productions,What is Theatre Clowing? The actors Christina and Inigo introduce us to the strange and unique character of the clown!,
Radvanu Nay! - (Never Cry!),India,Yashodhar,Jani,"How Jagdish And Manan a loving father-son duo, overcome their fears. ",
Leitmotif,Australia,Will,Scott,A composer discovers a powerful entity in her new home - but will it be a blessing or a curse?,
Code of Silence,Germany,CaravanFantasia,Shortfilm,"In 2016, the Berlin police shot Hussam H. for unexplained reasons; the case has never been solved. Inspired by this incident, ""Code of Silence"" sheds light on esprit de corps using the example of a German police duo, facing the decision of whether they feel morally committed to the truth or to loyalty.  While pursuing a suspect, police officer Thomas loses his service weapon in a scuffle with the fleeing suspect. His partner, and long-standing friend, Grebe sees no other way than to shoot at the suspect and kill him. Thomas is not entirely convinced that Grebe's actions were right, and now has to decide whether his moral obligation is to truth or to loyalty.",
Going out at night for some fresh air,Australia,Jose,Castillo,"A girl’s quiet, surreal and strange journey within their town in the dead of night. Through the fragmented story, they connect with their environment, some animals and themselves.",
Pop Corn,Argentina,Lucia Daniela,Bruno,"In Mar del Plata, in the middle of Varese beach, Marcelo spends his days making the best quality popcorn. In the course of this documentary he tells us what it is like to be one of the best known popcorn sellers in the city.",
Cold Shadow,United States,Noah,Jensen,A young undercover spy is fired for a mysterious reason. The friend helps him escape and then together defeat the evil boss.,
Wave,Hong Kong,SCM,Films,"Wave portrays the changing view in West Kowloon Park from dusk to night. Using photo cutouts and video sequences as main materials, the film tries to show people’s joyful and leisurely time in the West Kowloon neighborhood in an abstract and playful way.",
Roshni - Ek Sankalp,India,Kuldeep,Sharmaa,It is our duty to help humanity and give everyone the hook to live the same way.,
Pagdi (Turban),India,salil,mohan,"A young sikh child is anticipating for his Turban ceremony, but then in 1984 Indian Prime Minister gets killed .....",
Vindication,Nigeria,Young,Charles,"Emeka went to the northern part of Nigeria for his compulsory NYSC and now he is in grave danger, who will rescue him?",
Ojah - The rhythm of life,India,The Planet,X,"Assam, situated at the North East part of India is a garden of cultures of various colours; folk arts full of a granary. Recently due to the influence of western culture, the local arts are almost vanishing. Upper Assam’s OJAH is also a folk art. Ratneshwar is a drummer, an OJAH. He stays with his daughter Konsuali somehow collecting the day’s food grains. Nogen of the adjacent village is his trusted assistant. Teacher Horen’s daughter’s marriage is arranged. Konsuali and her friends are glad that they would enjoy the marriage to the fullest. Ratneshwar OJAH is getting ready for the marriage with his assistant to perform in the marriage. In all the village’s marriages the ritual of holy water, singing Malita etc are carried out by Ratneshwar OJAH. The day of the marriage is near but the turn marriage is taking is interesting. Instead of simple tent, they are bringing tent house and catering. It affected Ratneshwar when they brought Band Party to perform in her marriage instead of OJAH. Ratneshwar vanished during the day of marriage, his daughter kept crying. At the night of marriage Groom arrived at Horen’s doorstep amidst the sound of firecrackers supressing the sound of blessings. Suddenly there was the sound of Ratneshwar’s drums. Konsuali ran into the marriage. She was astonished finding her father there. Ratneshwar said, Bani’s groom is a cultured man, there are people still alive who understands the value of small local folk artists and cares about the art. Horen and his daughter asked for forgiveness. Ratneshwar started to play the drums and the marriage witnessed by the holy fire began.",
Time Passes By The Waterside,Nigeria,Joseph,Ogbe,A conflicted man finds a solution to his problem and makes a decision.,
Happy Deal,United Kingdom,Guia,Ravizza,"Phoebe, a kind homeless woman, and Olivia, a queer heartbroken student, find themselves on a late Friday night in a diner having conversations about values, personal experiences and apocalyptic possible ways for the world to end.",https://youtu.be/M4tyq_zH5Qk
WOMAN WITH A BROKEN UMBRELLA,Spain,Ander,Duque,"She is a successful woman: psychologist, dancer and model daughter. Her life is apparently full. One torrential winter night her umbrella breaks in the middle of the street. A simple accident that will unleash deeper storms.",https://youtu.be/u7oQ1y02HgY
"Me, Remember","Korea, Republic of",윤,허,A hallucinating journey of a man who is trying to find himself in his journey. ,
False Truth,Philippines,Janelle Patrice,Basallo,"The Kaliwa Dam project was said to ease the Metro Manila water crisis, three environmentalists in Infanta, Quezon where the construction is located speaks up about the damages it will bring.",
Shaoyan,China,yang,liu,"Chenshaoyan，who retake courses for entering a college, his  stepfather often went home fishing after he lost his job. His poor fish killing skills made his family full of fish. Over time, Chen Shaoyan always had a fishy smell. He even found that scales were slowly growing on his body, which made him miserable......",
Until it Wasn't,United States,Ava,Skye,,
Lost City Lost Sea,United Kingdom,Ivy,Wu,Land reclamation has caused serious pollution to the sea and led to the death of fish. This is not only threatening the livelihood of an old fisherman. It seems that the dead fishes are turning into a red tide that will devour the city.,
If I Were A Bird,Turkey,Cüneyt,Işık,"Berfin who was exposed to racism by her teacher, does not understand the racism she is exposed to.",
Pagan Souls,Argentina,Roberto,Ruiz,A sect makes its last journey. The end of the road. The final ritual.  ,
Godsend,Belarus,Ilya,Mezhegorov,visual embodiment of thought,
The heiresses ,Costa Rica,CINEMA,REGIONAL,"In a male-dominated industry, a woman fishing at sea is not a common occurrence. Máxima, a grandmother who represents struggle, will take us to relive her time as a fisherwoman, while her granddaughters predict that the future of many girls born into a family of artisanal fishermen is at stake. The time has come to give added value to women's participation in fishing.",
Memories lasts frvr,South Africa,George,Temba,"A narrative music video about a young man who falls in love with a lady who later on passes away, and he gets to regret all the bad things he did to her and wishes that he could have done certain things differently",
I Naufraghi (The castaways): L'Approdo,Italy,Giovanni,Brancale,,
The soul of Ukraine,Ukraine,Morris,Ternevich,"After the full-scale invasion, the life of every Ukrainian has changed. Even if you are safe, you feel immense pain for your people. For every destroyed home, for every innocent life. For every Russian missile that fell on our soil. And that pain does not subside.",
3 Weeks,United States,DSA,Video Cinema Arts,"In the midst of the world being trapped in a 3-week isolation at the start of the COVID-19 pandemic, Stephen’s roommates and girlfriend happen to forget a birthday already doomed to be disappointing. ",
Feast,Poland,Ola,Kamińska,,
Looking Through The Fence,India,vasuki,chandak,The film is centered around a common gate shared between two colonies. It explores a rather relatable ordinariness that exists around it. However as the stories about this gate unfold the question about what is ordinary and what is not becomes debatable.,
Lumber,United Kingdom,Martin,Bowman,What will the lumberjack do when the last tree is cut down?,
Crossing,Hong Kong,SCM,Films,"This Experimental Film showcases the visual fusion of the modern and the former Fringe, taking a journey through time and space from the colorful modern to the last century.",
Happy Place ,United Arab Emirates,Zahraa,Jaber,,
Harmony Hills,Not Specified,DSA,Video Cinema Arts,A morally ambiguous yet affluent man walks the line between reality and his own guilt.,
POR LA CARRETERA,Spain,Los,Glosters,"Henry Dasca, mezcla con buen gusto, el video de animación realizado por 'Digital Gordon' en tierras mexicanas, con el directo grabado por 'La Produktiva Films' del tema ""Por La Carretera"" de Los Glosters.",
Monodialogue.,United States,Azure,Kwok,"A surreal encounter with Adam reveals everything about Addison's past, present, and future.",
Burning Ground,Argentina,Mateo,Betti,Lucía and Mora travel a long way every day to return to the town in which they live.  Lucia y Mora recorren todos los días un largo camino para volver al pueblo donde viven.,
Ragged Coat of Nightmare,"Iran, Islamic Republic of",Mahdi,Rakhsha,"A place where the nightmare and the reality meet.  A high-school student tries to discover the identity of a man called spider, everything gets weirder when he finds an old shoe. ",
the suitcase,Egypt,Rogena,tarek,an old couple they decided to travel. so there's many negotiations happened about the suit case,
Through an Ant's Eye,India,Arijeet,Das,Through An Ant's Eye is a journey of an ant through different ups and downs of human life where it observes that resources & opportunities which are easily available to some people are not utilizing it judiciously while others for whom its a necessity  are unable to avail due to various circumstances.,
Window Shopping,Hong Kong,SCM,Films,"The pandemic has caused various shops to be closed for an extended period of time, which leads to the street looking lifeless and empty. A realization of how much we’ve taken for granted for the little shops all across the neighborhood. Walking through the neighborhood of Old Town Central in Hong Kong, some shops were opened while many remained closed. Taking this opportunity, we explored the shops and streets to see what goods we could find within the neighborhood. We drew out our imaginations, using all kinds of shapes and colors to create our ideal shopping experience through our ‘window’. ",
CSGO to Jail,United States,Trevor,Kasal,,
The Old Gladys,Argentina,Francisco,Mendes Moas,"Now the machines rules the world. A young man in an overall is searching refuge in the wild nature. An isolated camp ruled by a mad man self named as ""The Captain"" will be his final challenge.",
Aasha,India,Akash,Poikavila," Hope, is the emotion which has driven the human being to deal with the pandemic. An act of courage to step out and find solutions to the problems we face in these pandemics. What about the digital divide in education? Online education has come with many benefits, but what about the students and families who couldn’t afford the devices for online education.  Aasha, It’s a tale of a woman who decides to find a solution for the digital divide and bring the student's education in the best way she can. The pandemic doesn’t stop the will to do the good.",
Wings for Butterflies,United Kingdom,Tilly,Wallace,"An abstract paint on glass animated short in which the creatures of a redwood forest face off against the forces of man in a fight for their survival.  Wings for Butterflies is an animated short film that explores the rich and magical landscape of the redwood forests of California. The peaceful existence of the forest’s occupants is disturbed upon the arrival of a storm of manmade destruction, which threatens to uproot their trees and their way of life. It is up to a tree spirit and her small winged friends to restore the balance of their ecosystem.  Loosely based around the story of Julia Butterfly Hill, who lived in a redwood tree for two years to ensure that it couldn’t be logged by the Pacific Lumber Company.",
Gazi,South Africa,Raphadu,Maphoto,,
I am responsible,Canada,Afroz, Khan,We are all responsible to keep our eco system and earth clean.  The story revolves around the environment killing bad habits of a family in Toronto Canada. The realisation and correction of these could help our earth and our future generations. ,
Sambar,India,Ashwath,Thirumalai,"Writer, doctor, mridangam player, and a mother who is a housewife — four generations of women, with varied passions, spanning different eras. Yet, the sounds of the cooker and the sambar being made from scratch, which are a constant, set the tone for the film. Sambar is a non-verbal, yet, strong social commentary, narrated from the housewife's point of view, that brings to the fore, the innumerable aspirations, ambitions, and passions of women, across generations, which eventually all, “boil down” to the sambar that is frothing and bubbling over.",
The Domain,Tunisia,Mohamed Amine,Boukari,A short fiction film that deals with the technical and administrative problems faced by audiovisual trades during the process of creating a cinematographic work.,
Mind-Race,United States,Martine,Simon,"Everchanging, pulsating, snowballing college student forgets where they were going with this sentence-they also forgot that they have an essay due in the morning!",
Golden Child,United States,Sarah,Pangan,"A Filipino-American student (Mallory) falls victim to the pressures that come with living up to the expectations prompted by her family, friends, etc. She progressively mentally deteriorates until her grades drop. The school counselor worries about her, and finally has a meeting with her and her father. The father does not react positively when the counselor informs him of the reason behind Mallory's dropping grades. Her unstable mental state evokes him to lecture her. Her best friend (Raya) comforts her and encourages her to seek support, which leads to her attending a therapy session. This session is productive until she later receives the $400 bill, which angered her. Her father's disapproval of her mental state transcends upon her friends (Janice and Lorelai) as they make transparently stigmatic accusations. She then bumps into Raya in the hall, with no greeting or warning. Raya becomes worried. Mallory comes home to a letter from Stanford. She's been rejected. This sets her off. Raya's concern becomes evident as she attempts to reach out to Mallory, but is too late as her eerie voicemail plays as Mallory has already passed due to suicide. ",
Sham Shui Po,Hong Kong,SCM,Films,"With the aid of drone shooting, all the images in this film were recorded from the bird’s eye view to showcase the architectural beauty of one of the most crowded neighborhoods in Hong Kong - Sham Shui Po.",
The Seed,Turkey,Zeynep,Gül,"Mr. Auberon is a 45-year-old simple man living in Edinburgh. While he is decorating his tree for Christmas, the doorbell suddenly rings. When he opens the door, no one is there, only a gift box. When he opens the anonymous gift wrap, a precious stone emerges. When he drops the stone from his hand, the stone is broken. Three seeds emerge from the broken stone. Sowing the seeds, Mr. Auberon regularly waters the seeds. When Mr. Auberon comes home one day, he finds his plant in a monstrous form.The monster, which seems to eat him towards Mr. Auberon, actually saves his life by eating the giant, deadly spider behind him.",
La colada,Cuba,Rosse,Suárez,A woman chats with the source of her vice. ¿Loneliness or madness?,
Mother's feet,Thailand,รัมดร,สอและ,A young woman who was abused One day he had a pregnancy test and the life he had had  had to change. He had to fight for freedom. But the decision may not be a good choice for anyone. ,
Thoughts,Pakistan,Jiya,Rahat,People have so many thoughts despite living and pretending to be normal. ,
Kubli (Conceal),Philippines,Mae,Carlos,"In an isolated house, a strange-looking man lives with a young child. The man does notwant his visitors to see the child, so he keeps the child inside the house away from his visitors' sight in order to protect the child and to avoid social judgment. ",
KaKaaKulam,India,TamilPeteru,Akash,,
Boy and a Suitcase,Canada,Minsoo,Kang,"Caged behind curtains, a boy carries unknowable guilt and suffers a void that overrides reality. His therefore silent world is visited by an uninvited guest.",
Creación,Argentina,Lisa,Mena,"And God saw every thing that he had made, and, behold, it was very good.",
Dibs,Israel,Lyri,Milo,"Alone in the woods, you think you hear something. Is it a friend or a foe? Who is eating whom?  The violent gaze of the other is lurking.",
After the Wedding,Slovakia,Academy of Arts,Slovakia,"A portrait of the relationship of toy collectors Ľuba and Janka, who after twelve years of cohabitation found themselves facing a life event - a wedding. The approaching commitment forces them to re-evaluate their lives and thus several ""misunderstandings"" about the future functioning of their relationship and household surface.",
LOVE?,Kosovo,Doku,Fest,"Three people explain love from their point of view. Love as an abstract concept is explained in several ways. First, the feeling associated with this emotion is explained, how it can manifest itself in a romantic way to another person, and finally the extremely great value of self-love is shown.",
Erumi,India,Sahachaari,Films,,
Solitudes 2384m,France,Justin,Fayard,"Living alone under the gaze of the mountains, a man shares with us some of his moments of solitudes, reminding us of our place in the face of nature.",
Welcome to Marseille,France,Mathieu,Bordat,"365 000, this is the number of foreign students in France. Some people view it very unfavourably, others as a magnificent opportunity to bring together skills and cultures in order to enrich our knowledges. Between the difficulties of getting accustomed to the new country, personal development, and involvements in this new territory, we captured three intertwined portraits of international foreign students: Karima the artist, Youssef the scientist and Fernanda the activist.",
Bloodshed,United Kingdom,Naomi,Rachel Smith,"Tilly, Miah and Safa are three young women who endure debilitating period pain. Following an adolescence with little menstrual education, support or relief, they navigate the physical and emotional toll of intensely painful periods while trying to maintain a normal life. ",
The Spider Nest,India,Vijay,Raut,"A story of 10 year old playful tribal Indian boy living in a village near a dense jungle. eager to create a small hut of his own. He sees A spider's web and breaks it for the fun  of it, but doesn't know how does it feels when someone breaks his own house.  ",
Carbage Can,Kosovo,Çlirimtar,Spahiu,"A child faces the consequences of war, while he uses a tank left over from the war to urinate in it.",
Thoughts of Spirits In Madness,United States,Jonathan,Doroski," A man named Jack is relegated to being homeless after a falling-out with his wife where he reveals to her that he believes he is seeing the spirits of the Dead. Jack reflects upon his life in a conversation with a homeless man. During this reflection process, Jack realizes he needs to do whatever he can to get back to his wife, but sadly Jack's attempt to reconnect with his wife is in vain. ",https://www.youtube.com/watch?v=X9iNPgQsWT0
Dejavu,United States,ANDRES,RIPSTEIN,"A boy and girl go around town on a loving date. However, the more it progresses the more it doesn't seem real. ",
Stuffed,Australia,Charlene,Ding,A 2D animation following a girl discovering and eating all  sorts of food... lots and lots of food.,
Todd's Story,United States,Megan,Schaefer,My father discussing his health condition and the depression that he has dealt with because of it. ,
"Dude, I broke your car!",Brazil,adriano,wayne,"Thug, a newbie goon, tries to ignore the information that she destroys the boss expensive car in a shooting against a spanish gang",
Pieces,United States,Jiayang,Liu,"While struggling to finish a painting, a young girl finds herself lost in the world of perfection and objectivity. ",
Acedia,Russian Federation,Nikita,Alekseev,Can sin become a muse?,
Window in a Cage,India,RISHAV ,ROUSHAN,"LOGLINE The octogenarian Devi is left with a single window to interact with the outer world.  SYNOPSIS The film allows us to spend a segment of a day with the characters, who are associated with a House and very few have the privilege to come out of that House, including the film's audience. The film subtly throws light on some bitter universal truth of our human life,   ",
Grandpa,Kyrgyzstan,Janylai,khamidbai,"An 85-year-old hardworking old man. Brave and strong, regardless of age. A grandfather who devoted his life to work. A gardener is someone who has created a large garden out of dehydrated and rocky earth. However, there are sheep in the garden. He plays komuz in his free time. He also takes community service seriously. He goes to the garden and works every day. From his garden you can see what part of his life he devoted to a large garden and how much he loves to work.",
 The Cat and The Dog,Portugal,CLIA ANILUPA,Associação de Ludotecas do Porto,A cat was walking through the forest and found a very greedy dog eating the garbage on the ground. He got very sick. But the cat had a potion that made the dog go back to normal.,
PRANILOKAM,India,Jishnu,N,"THE STORY REVOLVES AROUND ARUN, AN ENGINEER WHO IS ASSIGNED WITH A PROJECT TO BUILD A FACTORY INSIDE A FOREST. HIS JOURNEY THEN LEADS HIM TO A DILAPIDATED HOUSE INSIDE THE FOREST. THEIR HE MEETS MANI A MYSTERIOUS MAN WHO HAS BEEN LIVING IN THE FOREST FOR HIS WHOLE LIFE. AS THE STORY UNFOLDS BOTH THE CHARACTERS FIGHT OVER THEIR OWN DIFFERENT IDEOLOGIES.",
The Unspoken,United Kingdom,Mashiach,Kelaty,A bride to be loses a necklace which has serious ramifications for her wedding,
Pure Silence,Turkey,Bora,Davutluoglu,The silent conversation between Sinem and her mother who has Alzheimer's disease.,
Light of insight,Belarus,Andrey,Andryianchyk,"Nick is an experienced artist, but many years of refusals from exhibitions and galleries make him give up. To analyze the cause of the failures he is helped by his friend Alex, a successfull artist, who became in demand thanks to the Nick.   ",https://youtu.be/kJcDtx5uBA8
Potential,Belarus,Veranika,Kandratsenka,"Human potential is enormous. What stands between people and the great discoveries they can make? Fear, false beliefs, and laziness. To overcome them is to realize oneself and one's potential. To succumb to fear is to forever remain trapped by the universe's reminders of your unfulfilled dreams.",
The shadow,India,Prem,Raj Pemu,Innocent girl Babu is studying in  school. Searching for the shadow of trees lost from the earth.,
Htrae,India,Rishav,Sha,"Htrae is a story about Y2, a space worker whose oxygen levels are running low, and his journey to find life on a lifeless planet.",
Beethoven's Symphony,Brazil,Charles,Morais,"After constantly moving, two students finally find the opportunity to start a family by adopting a stray dog.",
Redescubre Ciudad Real (Rediscover Ciudad Real),Spain,Casa del Cine,Ciudad Real,"Press Kit with a downloadable version (.mp4 H.264 + .srt English & Spanish subtitles):  https://drive.google.com/drive/folders/1857n0Q_mPmQNGJv0hB4LzBAE2gJJCQRw?usp=sharing YouTube Unlisted Link (English & Spanish subtitles): https://youtu.be/ih0meTcJAGQ  Elena recorre Ciudad Real capital, redescubriendo sus espacios y patrimonio a través de los recuerdos y emociones que le provocan.  Elena walks through the capital city of Ciudad Real, rediscovering its spaces and heritage through the memories and emotions they cause her.",https://youtu.be/_q4DhTqbHqQ
The Green Avenger ,Germany,David,Melüh,"In a world ruled by commerce and swindlers, a hero full of drive strives for the truth. The hero is known as 'The Green Avenger', who has set himself the goal of destroying the evil Reiner Spatz and his detergent company, which presents its business as nature-friendly, but is merely a greenwashed facade. Will he be able to fulfil his task?",
Women are from Venus,India,Rupsha ,Mukherjee,"A man comes to see a psychiatrist claiming that his wife is from a different planet. After talking to him and his wife in details, the doctor concludes that both are mentally unfit. There is a sub-plot where the doctor develops a romantic relationship with the man's daughter only to discover that the truth is something else!",
VORTEX,Turkey,Cüneyt,Işık,"The attempt of portraying one’s self as someone else in the virtual world, leading to loss of one's perception of reality",https://vimeo.com/388055110
Prima,Kazakhstan,Дарина,Манапова,"Inga's day is full of sadness as she prepares for her last performance after 30 years in the theatre. But that's not the only thing that makes Inga unhappy, she has a sick husband in the house.",
Khoba-The Tribal Village,India,Jaitra,Joshi,Khoba is Situated in Dharampur Taluka of Valsad District in Gujarat which is a village with rich culture and various elements which encouraged us to shoot everything and document it.,
One Wing ,United States,Gillian,Moses,A pregnant woman and her father take a life-altering hike through the woods. ,
Itzan,Switzerland,Benjamin,Keenan,"The lowland Maya adapted to their changing environment in different ways, and are thought to have abandoned their cities in response to a devastating drought around 730-900 CE. This project converts real geochemical data and the archaeological site of Itzan into a high fidelity visualisation representing the changing population, vegetation, and climate of the ancient Maya population over 6000 years. The project moves beyond conventional data visualisation to create an affectual experience that enables new ways for spectators to understand complex patterns found in scientific data.",
Water is life,Algeria,Mustapha,Benghernaout,"Just as the air, water is an essential element in life, but today, do we know the state and the value of this blessing?",https://www.youtube.com/watch?v=V-NGrqrZG5w
PRESENT,Not Specified,찬우,전,"The wife gives her kidney to the husband, and the husband takes it and the only son records them living a new life.",
White Board,Russian Federation,Ilia,Piskarev,It's always challenge to start a something new.,
LA PATASOLA,Colombia,backup,movere,"LA PATASOLA is a reimagining of one of the most known Colombian folklore related to women monsters. What we know about its origin seems to have been distorted for the time. At present, it is feared ghost of the Patasola in Campoalegre, Huila. in 1952 we will know where this story comes from, its protagonists and versions of each. From his perspective, Luis Alfredo is tired of his routine between work and his house, but at find what appears to be a piece of gold, the sight of him from the reality is distorted. While the perspective of his wife Yuliana is being locked up living in precarious conditions under the mistreatment of Luis Alfredo. When Yuliana tries escape from her, her jealousy will lead Luis Alfredo to murder her and create in the midst of hunger and the most violent time in Colombia a new legend about the death of a woman.",
My Better Half ,Sri Lanka,Sanka,Rambukwella,"A married man enjoys a fantasy of his wife having sex with another man and he masturbates imagining this cuckold scene. This short film spotlight the fact, no matter how much civilized humans become that their wilderness remains untamed deep inside them. Even when men try to outsmart by confining to civilized enclosures, they still constantly struggle between their superego and animalistic id ego inherited from evolution. At one point, the naturalistic instincts always win but that doesn't mean they be stripped off of their humane constructions of love and family. Moreover love resides strongly bounded by nature.",
"""A tale’s remnants""",Egypt,Mohammed,Khaled,"""A tale’s remnants"" is a film follows the story of ""Halema"", an Egyptian woman who grew up in a rural environment, and how did her love story originated with her husband, who left our world now, and how she remained on the covenant with him and didn’t  marry after him, because of her love for him that isn’t dependent on his presence or absence, she loves him in the absolute despite being exposed to difficult stations and crises after his death and in his life, where this love transcended from the love of the bodies to the love of the souls.",
Void,Brazil,Gabriel,Brescia,A man without a past enters an apartment and is able to feel the history of its objects through his touch. ,
Care at risk,Argentina,Jime,Troncoso,,
Saltarello,Italy,Tommaso,de Sando,"It's the St. John's night, between 23rd and 24th June 1964. Lorenzo's father is a peasant who works in the propriety of a Master who exploits the hard work of the sharecroppers. A group of peasants gather around one of the traditional fires of St. John in an unusual ritual aimed at attracting bad luck against the Master and finally hoping for freedom.",https://www.youtube.com/watch?v=StWy84Q_1Y8&feature=youtu.be
Competition,Philippines,Janelle Patrice,Basallo,Academic pressure heavies on a child.,
Time Passes By The Waterside,Nigeria,Joseph,Ogbe,A conflicted man finds a solution to his problem and makes a decision.,
PAIN: Stories of fibromyalgia,Portugal,João,Canuto,"A documentary that gives voice to fibromyalgia patients and thru image, sound and editing tries to convey the feeling of living with the disease.",https://youtu.be/isxVv5KO_z4
Tasting Skinny,Singapore,Saturn,Alyx,A short retrospective documentary on the struggles of eating disorder. ,
Mingulay: The Edge of the Outer Hebrides ,United Kingdom,Katie,Hair-Morse,"A short natural history documentary about the wildlife living on the uninhabited island of Mingulay in the Outer Hebrides of Scotland. The wild residents use the high cliffs and grass-adorned hillsides as breeding sites, but climate change and the arrival of avian flu have been putting populations at risk.",https://youtu.be/Ow1RNxczFgY
Self Potrait,Pakistan,Samran,Ali,The film is about a self-journey of a boy who in his childhood doesn't know what to do but one day he saw a film and decided to learn cinema. And now his journey is about creating films and understanding himself better through films.,
Vuelve,Mexico,vuelve,Short film,"Vuelve tells us the story of Vladimir, an old man who lives in a small cabin with his wife near a villa where children have disappeared without explanation over the years, leaving the place almost empty. Vladimir is sure that he has found the reason and the solution for the disappearances, and he will be ready to do whatever it takes to get back what he wants to see come back.",
